,Filmtitel,page_link,Starttermin,Regie,Darsteller,Foto,Verleih,Produktionsland,Trailer
14,Gloria Mundi ,https://www.kino-zeit.de/node/45827,08.10.2020,Robert Guédiguian,"Ariane Ascaride, Jean-Pierre Darroussin, Gérard Meylan, Anaïs Demoustier",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-03/gloria-mundi-filmbild1.jpg?itok=3uB75QUh,Film Kino Text,"Frankreich, Italien",www.youtube.com/watch?v=f7CssxZ877w
15,Horror Noire: A History of Horror ,https://www.kino-zeit.de/node/50824,10.10.2020,Xavier Burgin,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/horror_noire_2.jpg?itok=OS-nHxdL,Drop-Out Cinema eG,USA,www.youtube.com/watch?v=pQI3RMdp_JI
16,I Miss You ,https://www.kino-zeit.de/node/50216,08.10.2020,Rodrigo Bellott,"Oscar Martínez, Rossy de Palma, Fernando Barbosa, Rick Cosnett",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/i-miss-you-1.png?itok=FIhOrNJD,Pro-Fun Media,"Bolivien, USA",www.youtube.com/watch?v=9ahIx6bGzRY
17,Im Stillen laut ,https://www.kino-zeit.de/node/50659,08.10.2020,Therese Koppe,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/Im_Stillen_laut_1.jpg?itok=gC8-mfUA,Salzgeber & Co. Medien GmbH,Deutschland,www.youtube.com/watch?v=AZ45RU_RFWM
18,Milla meets Moses ,https://www.kino-zeit.de/node/47299,08.10.2020,Shannon Murphy,"Eliza Scanlen, Toby Wallace, Emily Barclay, Eugene Gilfedder, Essie Davis, Ben Mendelsohn",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-08/babyteeth-filmbild1.jpg?itok=z5Jutrte,"X Verleih, Warner Bros. Entertainment GmbH ",Australien,www.youtube.com/watch?v=RvoTMDzsgF4
19,Peninsula ,https://www.kino-zeit.de/node/49141,08.10.2020,Yeon Sang-ho,"Dong-Won Gang, Jung-hyun Lee",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-03/peninsula-filmstill.jpg?itok=kpbMOyki,Splendid Film,Südkorea,www.youtube.com/watch?v=KklVMu6wxIw
20,"Unser Boden, unser Erbe ",https://www.kino-zeit.de/node/48460,08.10.2020,Marc Uhlig,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/unserbodenunsererbe_filmstill_03_web.jpg?itok=sOl8-gpN,W-Film,Deutschland,www.youtube.com/watch?v=0QQYS1wJl5g
21,Zombi Child ,https://www.kino-zeit.de/node/45101,08.10.2020,Bertrand Bonello,"Louise Labeque, Adilé David, Katiana Milfort, Mackenson Bijou",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-05/Zombi_Child_filmbild1.jpg?itok=5rseo_HD,Grandfilm,Frankreich,www.youtube.com/watch?v=23pNPezU1RI
22,Astronaut ,https://www.kino-zeit.de/node/50228,15.10.2020,Shelagh McLeod,"Richard Dreyfuss, Lyriq Bent, Krista Bridges, Colm Feore, Richie Lawrence",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/astronaut_3.jpg?itok=d8r1D-fy,JETS Filmverleih & Vertrieb,Kanada,www.youtube.com/watch?v=4zQELRWbQdo
23,Bruno - Die lange Heimreise ,https://www.kino-zeit.de/node/48854,15.10.2020,Karl Golden,"Diarmaid Murtagh, Woody Norman, Seun Shote, Scarlett Alice Johnson",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/bruno_7_daniel_andizzy_searching_copyrightfilmperlen.jpg?itok=zAwjXX3x,Filmperlen,Großbritannien,www.youtube.com/watch?v=Nq8uFB3DG7s
24,Chernobyl: Abyss ,https://www.kino-zeit.de/node/50781,18.10.2020,Danila Kozlovsky,"Oksana Akinshina, Danila Kozlowskj, Filipp Avdeew",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/chernobyl_abyss_2.jpg?itok=RK1xWapx,Capelight Pictures / Central,Russland,www.youtube.com/watch?v=amiO_cqRKis
25,Der Bär in mir ,https://www.kino-zeit.de/node/50292,15.10.2020,Roman Droux,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/der_bar_in_mir_2.jpg?itok=tjD7cAkW,MFA + Filmdistribution,Schweiz,www.youtube.com/watch?v=U2Fh5zFX7uY
26,Der geheime Garten ,https://www.kino-zeit.de/node/47584,15.10.2020,Marc Munden,"Colin Firth, Maeve Dermody, Julie Walters, Dixie Egerickx",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/dergeheimegarten_003.jpg?itok=xEGMD43X,STUDIOCANAL GmbH Filmverleih,"Großbritannien, Frankreich",www.youtube.com/watch?v=67M97ST61vE
27,I Am Greta ,https://www.kino-zeit.de/node/50550,16.10.2020,Nathan Grossman,Greta Thunberg,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/Greta_Biennale.jpg?itok=4D5rSP8A,Filmwelt Verleihagentur,Schweden,www.youtube.com/watch?v=cxi_fi-G8xk
28,Making Montgomery Clift ,https://www.kino-zeit.de/node/47343,17.10.2020,"Robert Anderson Clift, Hillary Demmon",,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-08/Making-Montgomery_Clift_filmbild1.jpg?itok=Dsn_eCG7,missingFILMs ,USA,www.youtube.com/watch?v=eJtdIcOR2bM
29,Martin Margiela - Mythos der Mode ,https://www.kino-zeit.de/node/48816,15.10.2020,Reiner Holzemer,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/martin_margiela_in_his_own_words_filmstill.jpg?itok=wagJkvmj,Filmwelt Verleihagentur,"Deutschland, Belgien",www.youtube.com/watch?v=EvrQX4POKtg
30,Moskau Einfach! ,https://www.kino-zeit.de/node/48285,15.10.2020,Micha Lewinsky,"Miriam Stein, Oriana Schrage, Urs Jucker, Michael Maertens, Mike Müller",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-12/moskau_einfach_filmbild1.jpg?itok=i7zoIqpe,Arsenal Filmverleih GmbH ,Schweiz,www.youtube.com/watch?v=ybVkz5h4MlU
